date,year,type,title,subtitle,simple,image
Apr 16 2026,2026,release,My Tiny Page 2.0 Beta released,,false,
Mar 27 2026,2026,release,Kigen Design System 1.0 released,A comprehensive design system with 200+ components tokens and documentation.,false,https://images.unsplash.com/photo-1542831371-29b0f74f9713?w=400&q=80
Feb 10 2026,2026,milestone,Reached 50k followers on Twitter,A huge thank you to everyone who follows and supports the journey. 🎉,true,
Jan 5 2026,2026,work,Started full-time at @overlayz studio,Excited to be building design tools and plugins as my primary focus this year.,true,
Nov 18 2025,2025,release,Figma Config 2025 Agenda Poster,Designed the official agenda poster for Figma's annual Config conference.,false,
Aug 22 2025,2025,personal,Started working on Project Artist and Cat — my first game,A dream project I've been thinking about for years. Finally building it.,true,https://images.unsplash.com/photo-1558655146-d09347e92766?w=400&q=80
May 3 2025,2025,release,My Tiny Page 1.0 launched,Launched the first public version — 3200 signups in the first week.,true,
Feb 12 2025,2025,milestone,Featured on Awwwards SOTD,The portfolio redesign won Site of the Day on Awwwards. Still surreal.,true,
Nov 2024,2024,work,Completed Gauranga Consultancy Platform,Full-stack consultancy website with university listings and lead generation.,true,
Aug 2024,2024,release,Chita State Medical Academy Website,Built the official partner website for the Russian medical university.,true,
May 2024,2024,milestone,First freelance client crossed 10k monthly visitors,Gauranga Consultancy site hit a major traffic milestone.,true,
Jan 2024,2024,personal,Started learning Blender and 3D modeling,Decided to expand creative skills into 3D. Addicted from day one.,true,
Sep 2023,2023,work,Built first full-stack admin panel,Custom PHP dashboard with role-based access control and audit logs.,true,
Jun 2023,2023,milestone,Graduated from college,Completed BCA degree. Ready to build things full time.,true,
Mar 2023,2023,release,Launched first SaaS side project,A small tool that automated WhatsApp messaging using Selenium and Python.,true,
2022,2022,personal,Started learning PHP and web development seriously,Switched from dabbling to deep focus. Everything changed from here.,true,
2021,2021,personal,First line of code ever written,HTML. A basic webpage. The spark that started everything.,true,
