category,label,url,desc
Social,Twitter / X,https://x.com/RajivKumar31499,Follow along for dev updates and thoughts
Social,Instagram,https://instagram.com/bash.rajiv/,Photos and creative work
Social,LinkedIn,https://www.linkedin.com/in/rajiv-kumar-dev/,Professional profile and experience
Social,GitHub,https://github.com/,Open source and personal projects
Work,Gauranga Consultancy,https://gaurangaconsultancy.com/,Education consultancy platform I built
Work,Chita State Medical Academy,https://chitastatemedicalacademy.in/,Russian university official partner site
Work,Amur State Medical Academy,https://amurstatemedicalacademy.com/,Russian university official partner site
Tools,Figma,https://figma.com/,My primary design tool
Tools,VS Code,https://code.visualstudio.com/,Code editor I use daily
Tools,Linear,https://linear.app/,Project management
Tools,Notion,https://notion.so/,Notes and documentation
Tools,Raycast,https://raycast.com/,Productivity launcher
Design,Dribbble,https://dribbble.com/,Design inspiration and showcases
Design,Behance,https://behance.net/,Creative portfolios and projects
Design,Awwwards,https://awwwards.com/,Premium web design awards
Reads,Hacker News,https://news.ycombinator.com/,Tech and startup news
Reads,CSS-Tricks,https://css-tricks.com/,Frontend tips and tutorials
Reads,Smashing Magazine,https://smashingmagazine.com/,Web design and development articles
