id,featured,title,desc,client,date,duration,views,category,platform,link,ytid,bg,accent
1,false,Wondering how much MBBS at Amur State Medical Academy Russia really costs?,Amur State Medical Academy offers quality medical education with an affordable fee structure low hostel costs and scholarship opportunities,Gauranga Consultancy,Jul 2026,2:13,0,company,YouTube,https://www.youtube.com/shorts/73tOtPNiZuw,73tOtPNiZuw,"linear-gradient(135deg, #0a0a1e 0%, #1a1a3e 50%, #2a1040 100%)",#a78bfa
2,false,Big Discounts on Processing Fees for MBBS Abroad 2026,Big Discounts on Processing Fees for MBBS Abroad 2026,Gauranga Consultancy,Apr 2026,0:18,0,company,YouTube,https://www.youtube.com/shorts/B0EimDmqnng,B0EimDmqnng,"linear-gradient(135deg, #0a1a0e 0%, #0a2e1a 50%, #0a3020 100%)",#34d399
3,false,Syktyvkar State Medical University,Safe and comfortable environment for Indian students,Gauranga Consultancy,May 2025,1:09,0,company,YouTube,https://www.youtube.com/shorts/-nv4wASXKgw,-nv4wASXKgw,"linear-gradient(135deg, #0a0e1e 0%, #0a1a3e 60%, #101540 100%)",#60a5fa
4,false,Amur State Medical Academy,In this series we help you explore the best options for MBBS abroad,Gauranga Consultancy,May 2025,1:09,0,company,YouTube,https://www.youtube.com/shorts/hdsv7qjQ2o4,hdsv7qjQ2o4,"linear-gradient(135deg, #1a0a1e 0%, #2a1040 50%, #1a0a30 100%)",#a78bfa
5,false,Chita State Medical Academy,One Day One University - Chita State Medical Academy spotlight,Gauranga Consultancy,May 2025,0:36,0,company,YouTube,https://www.youtube.com/shorts/GdI8pMDc5tg,GdI8pMDc5tg,"linear-gradient(135deg, #1e0a0a 0%, #3e1a1a 50%, #401010 100%)",#f87171
6,false,Counselor after 100+ student calls in a day,Counselor after 100+ student calls in a day,Gauranga Consultancy,May 2025,0:40,0,collab,YouTube,https://www.youtube.com/shorts/mb7ouuk5C5A,mb7ouuk5C5A,"linear-gradient(135deg, #1a1a0a 0%, #2e2e0a 50%, #303010 100%)",#fbbf24
7,false,Bol rha tha Iss baar ReNeet ka paper leak nhi?,Bol rha tha Iss baar ReNeet ka paper leak nhi?,Gauranga Consultancy,Jun 2025,0:11,0,collab,YouTube,https://www.youtube.com/shorts/KyyeUx6vcsk,KyyeUx6vcsk,"linear-gradient(135deg, #0a0a1e 0%, #151530 50%, #1a1a40 100%)",#818cf8
8,false,Bas Khud Pr Yakeen Rakhna NEET 2026,Bas Khud Pr Yakeen Rakhna NEET 2026,Gauranga Consultancy,May 2025,0:30,0,collab,YouTube,https://www.youtube.com/shorts/TwUXX0MzeLk,TwUXX0MzeLk,"linear-gradient(135deg, #1e0a14 0%, #3e1428 50%, #401020 100%)",#f472b6
9,false,Dost ka NEET result aane wala hai,Dost ka NEET result aane wala hai to socha uske saath practice kar lu,Gauranga Consultancy,Apr 2025,0:30,0,collab,YouTube,https://www.youtube.com/shorts/-mxQrYJayjY,-mxQrYJayjY,"linear-gradient(135deg, #0a1a1e 0%, #0a2e3e 50%, #0a3040 100%)",#38bdf8
10,true,Top 5 Affordable Medical Universities in Uzbekistan,Study MBBS in Uzbekistan with quality education modern facilities and affordable tuition fees.,Gauranga Consultancy,July 2025,1:38,0,company,YouTube,https://www.youtube.com/shorts/E9gYk040ysU,E9gYk040ysU,"linear-gradient(135deg, #0a1a1e 0%, #0a2e3e 50%, #0a3040 100%)",#38bdf8
